Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Gastón Fernández,ar ARG,"FW,MF",33.0,4,37.0,9.0,1.1,0.4,0,,0.0,4,8.0,3,2.25,1.0,0.0,1.0,2.43,1.95,Matches
Lima,br BRA,"FW,MF",20.0,2,35.0,18.0,1.0,0.4,0,,0.0,2,17.0,1,0.0,1.0,2.0,-1.0,-2.57,-3.1,Matches
Ericson,br BRA,DF,17.0,1,17.0,17.0,0.5,0.2,0,,0.0,1,16.0,0,0.0,0.0,1.0,-1.0,-5.29,-5.82,Matches
Matheus Henrique,br BRA,MF,19.0,1,16.0,16.0,0.5,0.2,0,,0.0,1,15.0,2,0.0,0.0,1.0,-1.0,-5.63,-6.15,Matches
Vico,br BRA,MF,18.0,1,5.0,5.0,0.1,0.1,0,,0.0,1,4.0,1,1.0,0.0,0.0,0.0,0.0,-0.5,Matches
Lucas Araujo,br BRA,MF,17.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Brenno,br BRA,GK,17.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Raul Cardoso,br BRA,DF,19.0,0,,,,,0,,0.0,0,,4,,,,,,,Matches
Denilson,br BRA,DF,21.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Renan Dida,br BRA,GK,19.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Ezequiel Esperon,ar ARG,MF,20.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Guilherme Guedes,br BRA,DF,17.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Jadson Negão,br BRA,FW,18.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Jeferson Negueba,br BRA,FW,23.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Squad Total,,,26.4,38,3420.0,90.0,100.0,38.0,418,85.0,,112,17.0,295,1.63,55.0,36.0,19.0,0.5,,
Opponent Total,,,26.8,38,3420.0,90.0,100.0,38.0,418,85.0,,113,22.0,305,1.16,36.0,55.0,-19.0,-0.5,,
