Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Salomon Kalou,ci CIV,"FW,MF",34.0,25,1097.0,44.0,32.1,12.2,11,70.0,2.0,14,23.0,3,0.64,9.0,22.0,-13.0,-1.07,-0.41,15.8,22.7,-7.0,-0.57,-0.32,Matches
Rhuan Silveira,br BRA,"FW,MF",20.0,23,975.0,42.0,28.5,10.8,11,67.0,1.0,12,20.0,4,0.87,14.0,18.0,-4.0,-0.37,0.59,18.5,19.7,-1.1,-0.1,0.35,Matches
David Sousa,br BRA,DF,18.0,13,856.0,66.0,25.0,9.5,10,85.0,8.0,3,2.0,17,0.77,7.0,19.0,-12.0,-1.26,-0.63,13.0,17.0,-4.1,-0.43,-0.1,Matches
Guilherme Santos,br BRA,"MF,DF",31.0,12,734.0,61.0,21.5,8.2,8,76.0,6.0,4,31.0,0,1.25,7.0,9.0,-2.0,-0.25,0.69,9.8,15.0,-5.2,-0.64,-0.36,Matches
Gatito Fernández,py PAR,GK,31.0,8,720.0,90.0,21.1,8.0,8,90.0,8.0,0,,0,1.13,6.0,7.0,-1.0,-0.12,0.84,8.8,13.8,-5.0,-0.63,-0.34,Matches
Warley,br BRA,"FW,MF",20.0,16,665.0,42.0,19.4,7.4,8,67.0,0.0,8,16.0,14,0.88,8.0,13.0,-5.0,-0.68,0.14,10.8,11.5,-0.6,-0.08,0.34,Matches
Diego,br BRA,GK,21.0,7,630.0,90.0,18.4,7.0,7,90.0,7.0,0,,17,0.43,6.0,15.0,-9.0,-1.29,-0.61,9.9,11.4,-1.5,-0.22,0.17,Matches
Matheus Nascimento,br BRA,"FW,MF",15.0,11,553.0,50.0,16.2,6.1,6,77.0,1.0,5,19.0,16,0.45,4.0,13.0,-9.0,-1.46,-0.81,7.6,11.0,-3.4,-0.55,-0.23,Matches
Carlos Enrique Renteria,co COL,MF,24.0,10,495.0,50.0,14.5,5.5,6,66.0,1.0,4,25.0,8,1.0,5.0,10.0,-5.0,-0.91,-0.14,9.5,11.7,-2.3,-0.41,-0.06,Matches
Rafael Navarro,br BRA,FW,19.0,7,431.0,62.0,12.6,4.8,5,80.0,1.0,2,17.0,5,0.57,3.0,9.0,-6.0,-1.25,-0.53,5.2,7.9,-2.7,-0.56,-0.23,Matches
Luis Henrique,br BRA,"FW,MF",18.0,5,407.0,81.0,11.9,4.5,5,81.0,2.0,0,,0,1.4,3.0,2.0,1.0,0.22,1.15,5.0,6.9,-1.9,-0.42,-0.07,Matches
