Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Xavier,br BRA,DF,22.0,1,59.0,59.0,1.7,0.7,0,,0,1,59.0,1,3.0,1.0,0.0,1.0,1.53,2.01,0.4,0.4,0.1,0.1,0.35,Matches
Lucas Emmanuel,br BRA,FW,22.0,2,55.0,28.0,1.6,0.6,0,,0,2,28.0,3,1.5,1.0,0.0,1.0,1.64,2.12,0.1,0.6,-0.6,-0.91,-0.67,Matches
Mina,br BRA,DF,19.0,1,45.0,45.0,1.3,0.5,0,,0,1,45.0,7,3.0,0.0,0.0,0.0,0.0,0.45,0.2,0.3,-0.1,-0.11,0.14,Matches
Simioni,br BRA,MF,19.0,1,45.0,45.0,1.3,0.5,0,,0,1,45.0,2,3.0,0.0,0.0,0.0,0.0,0.45,0.2,0.3,-0.1,-0.11,0.14,Matches
Fellipe Bastos,br BRA,MF,32.0,1,36.0,36.0,1.1,0.4,0,,0,1,36.0,10,0.0,0.0,2.0,-2.0,-5.0,-4.6,0.1,0.6,-0.4,-1.1,-0.86,Matches
Halerrandrio dos Santos,br BRA,MF,16.0,1,29.0,29.0,0.8,0.3,0,,0,1,29.0,0,3.0,0.0,0.0,0.0,0.0,0.45,0.2,0.0,0.2,0.68,0.93,Matches
Denzel,br BRA,FW,20.0,1,25.0,25.0,0.7,0.3,0,,0,1,25.0,1,1.0,0.0,0.0,0.0,0.0,0.45,0.0,0.4,-0.3,-1.21,-0.97,Matches
Jhonny Lucas,br BRA,MF,22.0,2,17.0,9.0,0.5,0.2,0,,0,2,9.0,4,1.5,1.0,0.0,1.0,5.29,5.77,0.3,0.1,0.2,0.85,1.1,Matches
Ezequiel,br BRA,GK,19.0,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Felipe,br BRA,MF,28.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Luiz Filipe,br BRA,FW,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Matheus,br BRA,GK,28.0,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Nathan Melo,br BRA,MF,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Daniel Nolasco,br BRA,DF,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Ariel Palacio,br BRA,FW,24.0,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Wendell,br BRA,FW,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.7,38,3420.0,90.0,100.0,38.0,418,80.0,238,174,24.0,270,1.0,36.0,53.0,-17.0,-0.45,,36.6,45.9,-9.3,-0.24,,
Opponent Total,,,27.2,38,3420.0,90.0,100.0,38.0,418,80.0,236,179,23.0,272,1.71,53.0,36.0,17.0,0.45,,45.9,36.6,9.3,0.24,,
