Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Marcelo Ajul,br BRA,DF,18.0,1,15.0,15.0,0.4,0.2,0,,0.0,1,15.0,7,1.0,0.0,0.0,0.0,0.0,0.34,0.5,0.8,-0.3,-1.8,-1.53,Matches
Helber Italo,br BRA,MF,18.0,1,1.0,1.0,0.0,0.0,0,,0.0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.28,Matches
Denival,br BRA,GK,20.0,0,,,,,0,,,0,,2,,,,,,,,,,,,Matches
Diego Ferreira,br BRA,DF,17.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Juan Kelsen,br BRA,FW,18.0,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
Pedrão,br BRA,MF,21.0,0,,,,,0,,,0,,6,,,,,,,,,,,,Matches
Luan Polli,br BRA,GK,27.0,0,,,,,0,,,0,,11,,,,,,,,,,,,Matches
Renzo,br BRA,DF,19.0,0,,,,,0,,,0,,2,,,,,,,,,,,,Matches
Squad Total,,,26.1,38,3420.0,90.0,100.0,38.0,418,81.0,254.0,161,22.0,259,1.0,24.0,37.0,-13.0,-0.34,,39.8,50.7,-10.8,-0.28,,
Opponent Total,,,27.1,38,3420.0,90.0,100.0,38.0,418,81.0,241.0,177,20.0,264,1.71,37.0,24.0,13.0,0.34,,50.7,39.8,10.8,0.28,,
