Player,Nation,Pos,Age,MP,Clube,Year,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Matches,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Playing Time MP
Bastos,ao ANG,DF,32.0,,Botafogo-RJ,2024,31,2628.0,29.2,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,1.7,1.7,0.1,1.8,12.0,111.0,7.0,0.06,0.0,0.06,0.06,0.06,32
Alexander Barboza,ar ARG,DF,28.0,,Botafogo-RJ,2024,23,2033.0,22.6,0.0,1.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,0.04,0.04,0.0,0.04,Matches,1.4,1.4,1.0,2.3,14.0,90.0,7.0,0.06,0.04,0.1,0.06,0.1,26
Jefferson Savarino,ve VEN,"MF,FW",27.0,,Botafogo-RJ,2024,22,2009.0,22.3,8.0,7.0,15.0,8.0,0.0,0.0,3.0,0.0,0.36,0.31,0.67,0.36,0.67,Matches,5.2,4.9,6.5,11.4,46.0,124.0,175.0,0.23,0.29,0.52,0.22,0.51,28
Thiago Almada,ar ARG,"FW,MF",22.0,,Botafogo-RJ,2024,16,1252.0,13.9,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.07,0.14,0.22,0.07,0.22,Matches,3.4,2.6,2.6,5.2,65.0,112.0,108.0,0.24,0.19,0.43,0.19,0.37,17
Damián Suárez,uy URU,DF,35.0,,Botafogo-RJ,2024,13,1244.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,0.1,0.1,1.6,1.7,22.0,37.0,55.0,0.01,0.12,0.13,0.01,0.13,17
Mateo Ponte,uy URU,DF,20.0,,Botafogo-RJ,2024,13,1132.0,12.6,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.24,0.0,0.24,0.24,0.24,Matches,1.5,1.5,1.0,2.5,22.0,45.0,97.0,0.12,0.08,0.19,0.12,0.19,17
Óscar Romero,py PAR,"MF,FW",31.0,,Botafogo-RJ,2024,6,678.0,7.5,1.0,4.0,5.0,0.0,1.0,1.0,5.0,0.0,0.13,0.53,0.66,0.0,0.53,Matches,1.4,0.6,1.5,2.1,12.0,52.0,54.0,0.19,0.19,0.38,0.08,0.28,19
Gatito Fernández,py PAR,GK,35.0,,Botafogo-RJ,2024,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Diego Hernández,uy URU,"FW,MF",23.0,,Botafogo-RJ,2024,0,207.0,2.3,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.87,0.87,0.0,0.87,Matches,0.1,0.1,0.5,0.6,3.0,9.0,13.0,0.03,0.22,0.24,0.03,0.24,10
Jacob Montes,ni NCA,"FW,MF",25.0,,Botafogo-RJ,2024,0,19.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.74,0.0,4.74,4.74,4.74,Matches,0.1,0.1,0.0,0.1,0.0,0.0,1.0,0.59,0.0,0.59,0.59,0.59,1
